trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
114,0,114,0,5,170.727670900058,170.727670900058,0.017336699995212257,[0.27685185185185185],[-0.22314814814814815],[1],[0],[0],[1.0608515000203624],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
115,0,115,0,10,171.82403580006212,171.82403580006212,0.028261999948881567,[0.39444444444444443],[0.3824074074074074],[1],[0],[0],[1.3165337999816984],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
116,0,116,0,10,173.16862520005088,173.16862520005088,0.024679600028321147,[-0.08425925925925926],[0.25277777777777777],[1],[0],[0],[1.2890022000065073],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
117,0,117,0,10,174.48909719998483,174.48909719998483,0.026319799944758415,[-0.08981481481481482],[-0.026851851851851852],[1],[0],[0],[1.1010678999591619],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
118,0,118,0,10,175.62598770007025,175.62598770007025,0.029431700007990003,[-0.37777777777777777],[0.4777777777777778],[1],[0],[0],[1.3976125000044703],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
119,0,119,0,5,177.04437660006806,177.04437660006806,0.0174191000405699,[0.006481481481481481],[-0.33425925925925926],[1],[0],[0],[1.2942348000360653],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
120,0,120,0,5,178.36204310005996,178.36204310005996,0.01814199995715171,[-0.42592592592592593],[0.005555555555555556],[1],[0],[0],[1.2266775000607595],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
121,0,121,0,10,179.62192209996283,179.62192209996283,0.027423900086432695,[0.38425925925925924],[-0.1287037037037037],[1],[0],[0],[1.3019687000196427],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
122,0,122,0,5,180.94396279996727,180.94396279996727,0.017342999926768243,[0.05092592592592592],[0.3111111111111111],[1],[0],[0],[1.2773656999925151],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
123,0,123,0,10,182.25915230007377,182.25915230007377,0.031076899962499738,[0.3990740740740741],[0.023148148148148147],[1],[0],[0],[1.1810032000066712],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
124,0,124,0,10,183.47247140004765,183.47247140004765,0.02705300005618483,[0.075],[0.10185185185185185],[1],[0],[0],[1.2177550001069903],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
125,0,125,0,10,184.72217149997596,184.72217149997596,0.026967599987983704,[0.37962962962962965],[-0.2722222222222222],[1],[0],[0],[1.251284800004214],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
126,0,126,0,10,185.99824450002052,185.99824450002052,0.022881700075231493,[0.15],[-0.38055555555555554],[1],[0],[0],[1.0906453999923542],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
127,0,127,0,5,187.1253863000311,187.1253863000311,0.028450299985706806,[0.2101851851851852],[-0.175],[1],[0],[0],[0.9991719999816269],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
128,0,128,0,10,188.14687329996377,188.14687329996377,0.020877499948255718,[0.3861111111111111],[0.07777777777777778],[1],[0],[0],[1.193455099943094],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
129,0,129,0,5,189.36300790007226,189.36300790007226,0.018095799954608083,[-0.2824074074074074],[-0.2064814814814815],[1],[0],[0],[1.1083844000240788],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
130,0,130,0,5,190.49394650000613,190.49394650000613,0.017368000000715256,[-0.2462962962962963],[0.4787037037037037],[1],[0],[0],[1.6609268999891356],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
131,0,131,0,10,192.1920509999618,192.1920509999618,0.03095080005005002,[-0.3638888888888889],[0.4027777777777778],[1],[0],[0],[1.4350809999741614],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
132,0,132,0,5,193.6465201000683,193.6465201000683,0.016305699944496155,[0.3888888888888889],[-0.3685185185185185],[1],[0],[0],[1.374440599931404],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
133,0,133,0,5,195.0444686000701,195.0444686000701,0.018178099999204278,[-0.3972222222222222],[-0.2953703703703704],[1],[0],[0],[1.4772405000403523],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
134,0,134,0,5,196.54430960002355,196.54430960002355,0.01827989995945245,[-0.09444444444444444],[0.14722222222222223],[1],[0],[0],[1.1272995000472292],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
135,0,135,0,5,197.6990027000429,197.6990027000429,0.021834900020621717,[-0.06851851851851852],[0.3398148148148148],[1],[0],[0],[0.9891533000627533],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
136,0,136,0,10,198.72707779996563,198.72707779996563,0.0328806999605149,[0.34629629629629627],[-0.12962962962962962],[1],[0],[0],[1.296608200063929],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
137,0,137,0,10,200.05653339996934,200.05653339996934,0.027124900021590292,[-0.5009259259259259],[0.18703703703703703],[1],[0],[0],[1.4667975000338629],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
138,0,138,0,10,201.5565571000334,201.5565571000334,0.02835809998214245,[-0.3277777777777778],[0.06388888888888888],[1],[0],[0],[0.9997984000947326],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
139,0,139,0,10,202.58785110001918,202.58785110001918,0.026660199975594878,[0.2611111111111111],[-0.46574074074074073],[1],[0],[0],[1.934906700043939],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
140,0,140,0,5,204.5453646000242,204.5453646000242,0.01908780005760491,[0.4287037037037037],[-0.2518518518518518],[1],[0],[0],[1.0092700999230146],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
141,0,141,0,10,205.59060150000732,205.59060150000732,0.029290299979038537,[-0.003703703703703704],[-0.03611111111111111],[1],[0],[0],[1.1658041001064703],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
142,0,142,0,10,206.78913689998444,206.78913689998444,0.027693399926647544,[-0.07037037037037037],[0.475],[1],[0],[0],[1.2176343000028282],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
143,0,143,0,10,208.04154969996307,208.04154969996307,0.025614299927838147,[-0.4287037037037037],[0.4925925925925926],[1],[0],[0],[2.434417900047265],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
144,0,144,0,5,210.49458130006678,210.49458130006678,0.018009799998253584,[-0.03611111111111111],[0.37222222222222223],[1],[0],[0],[1.3595756000140682],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
145,0,145,0,5,211.87805020005908,211.87805020005908,0.01845650002360344,[0.08425925925925926],[0.27870370370370373],[1],[0],[0],[1.2283451000694185],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
146,0,146,0,5,213.12994240003172,213.12994240003172,0.018751799943856895,[-0.3],[0.4101851851851852],[1],[0],[0],[1.2581373000284657],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
147,0,147,0,10,214.42445439996663,214.42445439996663,0.029862900031730533,[0.5009259259259259],[-0.3453703703703704],[1],[0],[0],[1.267948399996385],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
